Report List 											
											
Sl. NO	Dept.	Report types	Type of  Sub Report	Reports	Reports	Reports		Remarks	Report Path	ReMarks	
90	Accounts	Fixed Assets	Exchange Gain/Loss on Capital Item						Report ? Accounts ? Accounts Report ?Fixed Assets ?Exchange Gain/Loss on Capital Item		
91	Accounts	Fixed Assets	Asset-Bom FAR						Report ? Accounts ? Accounts Report ?Fixed Assets ?Asset-Bom FAR		
92	Accounts	Fixed Assets	Shift Wise F.A. Usage						Report ? Accounts ? Accounts Report ?Fixed Assets ?Shift Wise F.A. Usage		
93	Accounts	Fixed Assets	Profit/Loss On Sale Of Asset						Report ? Accounts ? Accounts Report ?Fixed Assets ?Profit/Loss On Sale Of Asset		
94	Accounts	Fixed Assets	CWIP Account Reconciliation						Report ? Accounts ? Accounts Report ?Fixed Assets ?CWIP Account Reconciliation		
95	Accounts	Fixed Assets	Fixed Asset Register with Details						Report ? Accounts ? Accounts Report ?Fixed Assets ?Fixed Asset Register with Details		
96	Accounts	Fixed Assets	Fixed Asset Register Maprdval						Report ? Accounts ? Accounts Report ?Fixed Assets ?Fixed Asset Register Maprdval		
97	Accounts	Trail Balance Group	General Ledger						Report ? Accounts ? Accounts Report ? Trail Balance Group ?General Ledger		
98	Accounts	Trail Balance Group	Sub-Account Ledger						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Sub-Account Ledger		
99	Accounts	Trail Balance Group	Party Ledger						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Party Ledger		
100	Accounts	Trail Balance Group	Cash-Bank Book						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Cash-Bank Book		
101	Accounts	Trail Balance Group	Party Outstanding & Ageing						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Party Outstanding & Ageing		
102	Accounts	Trail Balance Group	Purchase Register						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Purchase Register		
103	Accounts	Trail Balance Group	Sales Register						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Sales Register		
104	Accounts	Trail Balance Group	CPC By G/L Summary						Report ? Accounts ? Accounts Report ? Trail Balance Group ?CPC By G/L Summary		
105	Accounts	Trail Balance Group	Bill By Bill Record						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Bill By Bill Record		
106	Accounts	Trail Balance Group	Self Bal. JV Details						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Self Bal. JV Details		
107	Accounts	Trail Balance Group	Foreign Currency-Party Outstanding & Ageing						Report ? Accounts ? Accounts Report ? Trail Balance Group ?Foreign Currency-Party Outstanding & Ageing		
108	Accounts	Trail Balance Group	All Bank Summary						Report ? Accounts ? Accounts Report ? Trail Balance Group ?All Bank Summary		
109	Accounts	Foreign Currency	General Ledger						Report ? Accounts ? Accounts Report ?Foreign Currency ?General Ledger		
110	Accounts	Foreign Currency	Sub-Account Ledger						Report ? Accounts ? Accounts Report ?Foreign Currency ?Sub-Account Ledger		
111	Accounts	Foreign Currency	Party Ledger						Report ? Accounts ? Accounts Report ?Foreign Currency ?Party Ledger		
112	Accounts	Foreign Currency	Employee Ledger						Report ? Accounts ? Accounts Report ?Foreign Currency ?Employee Ledger		
113	Accounts	Foreign Currency	All Bank Summary						Report ? Accounts ? Accounts Report ?Foreign Currency ?All Bank Summary		
