Report List 											
											
Sl. NO	Dept.	Report types	Type of  Sub Report	Reports	Reports	Reports		Remarks	Report Path	ReMarks	
432	Audit 	Audit Report	Purchase	Bill Passing Exception					Report ?Audit ?Audit Report?Purchase?Bill Passing Exception		
433	Audit 	Audit Report	Purchase	Auxiliary Bill Passing Status					Report ?Audit ?Audit Report?Purchase?Auxiliary Bill Passing Status		
434	Audit 	Audit Report	Purchase	Purchase Tax Summary					Report ?Audit ?Audit Report?Purchase?Purchase Tax Summary		
435	Audit 	Audit Report	Purchase	Tax Code wise Purchases					Report ?Audit ?Audit Report?Purchase?Tax Code wise Purchases		
436	Audit 	Audit Report	Sale	Pending Bills for Issues					Report ?Audit ?Audit Report?Sale?Pending Bills for Issues		
437	Audit 	Audit Report	Sale	Customer Invoice Passing Status					Report ?Audit ?Audit Report?Sale?Customer Invoice Passing Status		
438	Audit 	Audit Report	Sale	Bill Passing Exception					Report ?Audit ?Audit Report?Sale?Bill Passing Exception		
439	Audit 	Audit Report	Sale	Sale Tax Summary					Report ?Audit ?Audit Report?Sale?Sale Tax Summary		
440	Audit 	Audit Report	Sale	CST Return cum Chalan-Form III (B)					Report ?Audit ?Audit Report?Sale?CST Return cum Chalan-Form III (B)		
441	Audit 	Audit Report	Sale	Form 403					Report ?Audit ?Audit Report?Sale?Form 403		
442	Audit 	Audit Report	Sale	Tax Code wise Sales					Report ?Audit ?Audit Report?Sale?Tax Code wise Sales		
443	Audit 	Audit Report	Sale	TCS Deduction Report					Report ?Audit ?Audit Report?Sale?TCS Deduction Report		
444	Audit 	Audit Report	Sale	Auxiliary Bill Passing Status					Report ?Audit ?Audit Report?Sale?Auxiliary Bill Passing Status		
445	Audit 	Audit Report	Other	Inventory Item Rate					Report ?Audit ?Audit Report?Other?Inventory Item Rate		
446	Audit 	Audit Report	Other	Periodic Valuation Report					Report ?Audit ?Audit Report?Other?Periodic Valuation Report		
447	Audit 	Audit Report	Other	Consumption Statement					Report ?Audit ?Audit Report?Other?Consumption Statement		
448	Audit 	Audit Report	Other	Operator Statistics					Report ?Audit ?Audit Report?Other?Operator Statistics		
449	Audit 	Audit Report	Other	Pending For Authorisation					Report ?Audit ?Audit Report?Other?Pending For Authorisation		
450	Audit 	Audit Report	Other	Missing Document Nos					Report ?Audit ?Audit Report?Other?Missing Document Nos		
451	Audit 	Audit Report	Other	User Role Rights					Report ?Audit ?Audit Report?Other?User Role Rights		
452	Audit 	Audit Report	Other	Role Rights Changed Log					Report ?Audit ?Audit Report?Other?Role Rights Changed Log		
453	Audit 	Audit Report	Other	Missing TaxCode					Report ?Audit ?Audit Report?Other?Missing TaxCode		
454	Audit 	Audit Report	Other	User Log Sheet					Report ?Audit ?Audit Report?Other?User Log Sheet		
455	Audit 	Audit Report	Other	Userwise Authorisation					Report ?Audit ?Audit Report?Other?Userwise Authorisation		
456	Audit 	Audit Report	Other	Pending For Authorisation (USER)					Report ?Audit ?Audit Report?Other?Pending For Authorisation (USER)		
457	Audit 	Audit Report	Other	UserWise ERP Utilization					Report ?Audit ?Audit Report?Other?UserWise ERP Utilization		
458	Audit 	Audit Report	Other	E Invoice Details					Report ?Audit ?Audit Report?Other?E Invoice Details		
459	Audit 	Audit Report	Other	Self Balancing JV(Audit)					Report ?Audit ?Audit Report?Other?Self Balancing JV(Audit)		
460	Audit 	Audit Report	Other	Inventory unauthorised					Report ?Audit ?Audit Report?Other?Inventory unauthorised		
461	Audit 	Audit Report	Other	Document Attachment List					Report ?Audit ?Audit Report?Other?Document Attachment List		
462	Audit 	Audit Report	Other	Doc Date < Ref. Date < Captured Date					Report ?Audit ?Audit Report?Other?Doc Date < Ref. Date < Captured Date		
463	Audit 	Audit Report	Other	Audit Log Mandatory					Report ?Audit ?Audit Report?Other?Audit Log Mandatory		
464	Audit 	Audit Report	Other	User * Role Log					Report ?Audit ?Audit Report?Other?User * Role Log		
465	Finance	Finance Report	Satutory	Trial Balance					Report ?Finance?Finance Report?Satutory?Trial Balance		
466	Finance	Finance Report	Satutory	Provision Trial Balance					Report ?Finance?Finance Report?Satutory?Provision Trial Balance		
467	Finance	Finance Report	Satutory	Profit & Loss Statement					Report ?Finance?Finance Report?Satutory?Profit & Loss Statement		
468	Finance	Finance Report	Satutory	Divisional P&L Statement					Report ?Finance?Finance Report?Satutory?Divisional P&L Statement		
469	Finance	Finance Report	Satutory	Balance-Sheet					Report ?Finance?Finance Report?Satutory?Balance-Sheet		
470	Finance	Finance Report	Satutory	Trial Balance (Including Sub-A/C)					Report ?Finance?Finance Report?Satutory?Trial Balance (Including Sub-A/C)		
471	Finance	Finance Report	M.I.S	Cash-Flow Forecast					Report ?Finance?Finance Report?M.I.S?Cash-Flow Forecast		
472	Finance	Finance Report	M.I.S	Cash-Flow Projection					Report ?Finance?Finance Report?M.I.S?Cash-Flow Projection		
473	Finance	Finance Report	M.I.S	Fund-Flow Statement					Report ?Finance?Finance Report?M.I.S?Fund-Flow Statement		
474	Finance	Finance Report	M.I.S	Cash-Flow Statement					Report ?Finance?Finance Report?M.I.S?Cash-Flow Statement		
475	Finance	Finance Report	M.I.S	Item-Class P&L Statement					Report ?Finance?Finance Report?M.I.S?Item-Class P&L Statement		
476	Finance	Finance Report	Group Based	Trial Balance					Report ?Finance?Finance Report?Group Based?Trial Balance	Add in Sub Account Report in SP Group Based ( wrt Group Head)	
477	Finance	Finance Report	Group Based	Profit & Loss Statement					Report ?Finance?Finance Report?Group Based?Profit & Loss Statement		
478	Finance	Finance Report	Group Based	Balance-Sheet					Report ?Finance?Finance Report?Group Based?Balance-Sheet		
479	Finance	Finance Report	Group Based	Schedule Report					Report ?Finance?Finance Report?Group Based?Schedule Report		
480	Finance	Finance Report	Group Based	Cash Flow Statement					Report ?Finance?Finance Report?Group Based?Cash Flow Statement		
481	Finance	Finance Report	Group Based	Budget v/s Actual					Report ?Finance?Finance Report?Group Based?Budget v/s Actual		
482	Finance	Finance Report	Group Based	Divisional P&L Statement					Report ?Finance?Finance Report?Group Based?Divisional P&L Statement		
483	Finance	Finance Report	Group Based	Fund Flow Statement					Report ?Finance?Finance Report?Group Based?Fund Flow Statement		
484	Finance	Finance Report	Trail Balanced Group	Trial Balance					Report ?Finance?Finance Report?Trail Balanced Group?Trial Balance		
485	Finance	Finance Report	Trail Balanced Group	Profit & Loss Statement					Report ?Finance?Finance Report?Trail Balanced Group?Profit & Loss Statement		
486	Finance	Finance Report	Trail Balanced Group	Balance-Sheet					Report ?Finance?Finance Report?Trail Balanced Group?Balance-Sheet		
487	Finance	Finance Report	Trail Balanced Group	Trial Balance (Including Sub-A/C)					Report ?Finance?Finance Report?Trail Balanced Group?Trial Balance (Including Sub-A/C)		
488	Finance	Finance Report	Trail Balanced Group	Group Based	Trial Balance				Report ?Finance?Finance Report?Trail Balanced Group?Group Based?Trial Balance		
489	Finance	Finance Report	Trail Balanced Group	Group Based	Profit & Loss Statement				Report ?Finance?Finance Report?Trail Balanced Group?Group Based?Profit & Loss Statement		
490	Finance	Finance Report	Trail Balanced Group	Group Based	Balance-Sheet				Report ?Finance?Finance Report?Trail Balanced Group?Group Based?Balance-Sheet		
491	Finance	Finance Report	Trail Balanced Group	Group Based	Schedule Report				Report ?Finance?Finance Report?Trail Balanced Group?Group Based?Schedule Report		
492	Finance	Finance Report	Trail Balanced Group	Group Based	Cash Flow Statement				Report ?Finance?Finance Report?Trail Balanced Group?Group Based?Cash Flow Statement		
493	Finance	Finance Report	Trail Balanced Group	Cash Flow Statement					Report ?Finance?Finance Report?Trail Balanced Group?Cash Flow Statement		
494	Finance	Finance Report	Trail Balanced Group	Fund Flow Statement					Report ?Finance?Finance Report?Trail Balanced Group?Fund Flow Statement		
495	Finance	Finance Report	Budget	Budget v/s Actual	Account Codewise				Report ?Finance?Finance Report?Budget?Budget v/s Actual?Account Codewise		
496	Finance	Finance Report	Budget	Over Budget Expenses Statement					Report ?Finance?Finance Report?Budget?Over Budget Expenses Statement		
497	Finance	Finance Report	Budget	Budget/Account Details					Report ?Finance?Finance Report?Budget?Budget/Account Details		
498	Export	Export	Certificate Of Origin						Report ?Export?Export?Certificate Of Origin		
499	Export	Export	Packing Slip						Report ?Export?Export?Packing Slip		
500	Export	Export	Shipping Bill / Bill Of Export						Report ?Export?Export?Shipping Bill / Bill Of Export		
501	Export	Export	Proforma-Invoice						Report ?Export?Export?Proforma-Invoice		
502	Export	Export	G.S.P						Report ?Export?Export?G.S.P		
503	Export	Export	ARE1	Export 					Report ?Export?Export?ARE1?Export 		
504	Export	Export	ARE1	Domestics					Report ?Export?Export?ARE1?Domestics		
505	Export	Export	Bank Certificate						Report ?Export?Export?Bank Certificate		
506	Export	Export	Daily Stock Register						Report ?Export?Export?Daily Stock Register		
507	Export	Export	CT3 Register						Report ?Export?Export?CT3 Register		
508	Export	Export	B17 / LUT / UT1 Bond Register						Report ?Export?Export?B17 / LUT / UT1 Bond Register		
509	Export	Export	Stock Register For Capital Goods						Report ?Export?Export?Stock Register For Capital Goods		
510	Export	Export	Daily Waste Register						Report ?Export?Export?Daily Waste Register		
511	Export	Export	DTA Register						Report ?Export?Export?DTA Register		
512	Export	Export	Export Register						Report ?Export?Export?Export Register		
513	Export	Export	Finished Product Register						Report ?Export?Export?Finished Product Register		
514	Export	Export	AR-3A	Export 					Report ?Export?Export?AR-3A?Export 		
515	Export	Export	AR-3A	100% EOU 					Report ?Export?Export?AR-3A?100% EOU 		
516	Export	Export	CT3 Daily Register						Report ?Export?Export?CT3 Daily Register		
517	Export	Export	Form ARE-3	Export 					Report ?Export?Export?Form ARE-3?Export 		
518	Export	Export	Form ARE-3	Domestics					Report ?Export?Export?Form ARE-3?Domestics		
519	Export	Export	100% EOU Reports	D3 Register					Report ?Export?Export?100% EOU Reports?D3 Register		
520	Export	Export	100% EOU Reports	Job Work Register					Report ?Export?Export?100% EOU Reports?Job Work Register		
521	Export	Export	100% EOU Reports	Capital Goods Import Ledger					Report ?Export?Export?100% EOU Reports?Capital Goods Import Ledger		
522	Export	Export	100% EOU Reports	Raw Material Import Ledger					Report ?Export?Export?100% EOU Reports?Raw Material Import Ledger		
523	Export	Export	Annexure 19						Report ?Export?Export?Annexure 19		
524	Export	Export	ARE2						Report ?Export?Export?ARE2		
525	Export	Export	CT1 Register						Report ?Export?Export?CT1 Register		
526	Export	Export	CT2 Register						Report ?Export?Export?CT2 Register		
527	Export	Export	Export Promotion Scheme	ANF-4F					Report ?Export?Export?Export Promotion Scheme?ANF-4F		
528	Export	Export	Export Promotion Scheme	Import Details					Report ?Export?Export?Export Promotion Scheme?Import Details		
529	Export	Export	Export Promotion Scheme	Export Details					Report ?Export?Export?Export Promotion Scheme?Export Details		
530	Export	Export	Export Promotion Scheme	Appendix 4H					Report ?Export?Export?Export Promotion Scheme?Appendix 4H		
531	Export	Export	Closing Bond Balance of Duty						Report ?Export?Export?Closing Bond Balance of Duty		
